STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-08,,,,,0.0,"T,,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-09,,,,,0.0,"T,,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-10,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-11,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-12,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-13,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-14,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-15,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-16,,,,,0.0,"T,,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-17,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-18,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-19,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-20,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-21,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-22,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-23,,,,,0.0,"T,,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-24,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-25,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-26,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-27,,,,,0.0,"T,,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-28,,,,,0.0,"T,,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-29,,,,,19.6,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-30,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-05-31,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-06-01,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-06-02,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-06-03,,,,,10.9,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-06-04,,,,,0.3,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-06-05,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-06-06,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-06-07,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-06-08,,,,,5.3,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-06-09,,,,,11.4,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-06-10,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
CA1ON000033,"BURLINGTON 1.7 W, ON CA",43.3713417,-79.8355103,162.5,2021-06-11,,,,,0.0,",,N",0.0,",,N",0.0,",,N"
